prob0,prob1,prob2,actual0,actual1,actual2,predicted0,predicted1,predicted2,feature0,feature1,feature2,feature3,distance_man,distance_cosine,distance_euclidean,distance_minkowski
0.971808,0.013781,0.014412,1,0,0,1,0,0,5.100000,3.500000,1.400000,0.200000,10.200000,0.196227,40.260000,6.345077
0.968303,0.016345,0.015352,1,0,0,1,0,0,4.900000,3.000000,1.400000,0.200000,9.500000,0.197218,35.010000,5.916925
0.970558,0.013329,0.016113,1,0,0,1,0,0,4.700000,3.200000,1.300000,0.200000,9.400000,0.194667,34.060000,5.836095
0.964666,0.017505,0.017828,1,0,0,1,0,0,4.600000,3.100000,1.500000,0.200000,9.400000,0.182578,33.060000,5.749783
0.971578,0.013334,0.015087,1,0,0,1,0,0,5.000000,3.600000,1.400000,0.200000,10.200000,0.193216,39.960000,6.321392
0.958642,0.024081,0.017278,1,0,0,1,0,0,5.400000,3.900000,1.700000,0.400000,11.400000,0.172260,47.420000,6.886218
0.966823,0.015072,0.018105,1,0,0,1,0,0,4.600000,3.400000,1.400000,0.300000,9.700000,0.177493,34.770000,5.896609
0.970074,0.015216,0.014710,1,0,0,1,0,0,5.000000,3.400000,1.500000,0.200000,10.100000,0.189793,38.850000,6.232977
0.960620,0.018670,0.020710,1,0,0,1,0,0,4.400000,2.900000,1.400000,0.200000,8.900000,0.184412,29.770000,5.456189
0.967387,0.016749,0.015864,1,0,0,1,0,0,4.900000,3.100000,1.500000,0.100000,9.600000,0.198663,35.880000,5.989992
0.967040,0.017389,0.015571,1,0,0,1,0,0,5.400000,3.700000,1.500000,0.200000,10.800000,0.196265,45.140000,6.718631
0.966061,0.017206,0.016733,1,0,0,1,0,0,4.800000,3.400000,1.600000,0.200000,10.000000,0.180218,37.200000,6.099180
0.968294,0.015532,0.016174,1,0,0,1,0,0,4.800000,3.000000,1.400000,0.100000,9.300000,0.202649,34.010000,5.831809
0.959490,0.016013,0.024497,1,0,0,1,0,0,4.300000,3.000000,1.100000,0.100000,8.500000,0.206819,28.710000,5.358171
0.953421,0.023298,0.023281,1,0,0,1,0,0,5.800000,4.000000,1.200000,0.200000,11.200000,0.216764,51.120000,7.149825
0.946091,0.028969,0.024939,1,0,0,1,0,0,5.700000,4.400000,1.500000,0.400000,12.000000,0.185462,54.260000,7.366139
0.966696,0.016718,0.016586,1,0,0,1,0,0,5.400000,3.900000,1.300000,0.400000,11.000000,0.191001,46.220000,6.798529
0.971439,0.014360,0.014202,1,0,0,1,0,0,5.100000,3.500000,1.400000,0.300000,10.300000,0.188851,40.310000,6.349016
0.950488,0.030170,0.019342,1,0,0,1,0,0,5.700000,3.800000,1.700000,0.300000,11.500000,0.186094,49.910000,7.064701
0.968740,0.015547,0.015713,1,0,0,1,0,0,5.100000,3.800000,1.500000,0.300000,10.700000,0.182133,42.790000,6.541407
0.956985,0.026094,0.016922,1,0,0,1,0,0,5.400000,3.400000,1.700000,0.200000,10.700000,0.190230,43.650000,6.606815
0.968350,0.016446,0.015204,1,0,0,1,0,0,5.100000,3.700000,1.500000,0.400000,10.700000,0.175556,42.110000,6.489222
0.962531,0.014146,0.023324,1,0,0,1,0,0,4.600000,3.600000,1.000000,0.200000,9.400000,0.207365,35.160000,5.929587
0.953138,0.029882,0.016979,1,0,0,1,0,0,5.100000,3.300000,1.700000,0.500000,10.600000,0.162415,40.040000,6.327717
0.947720,0.030578,0.021702,1,0,0,1,0,0,4.800000,3.400000,1.900000,0.200000,10.300000,0.167294,38.250000,6.184658
0.960396,0.023023,0.016581,1,0,0,1,0,0,5.000000,3.000000,1.600000,0.200000,9.800000,0.190055,36.600000,6.049793
0.964601,0.020023,0.015376,1,0,0,1,0,0,5.000000,3.400000,1.600000,0.400000,10.400000,0.170307,39.280000,6.267376
0.969477,0.015935,0.014588,1,0,0,1,0,0,5.200000,3.500000,1.500000,0.200000,10.400000,0.193580,41.580000,6.448256
0.970695,0.014898,0.014407,1,0,0,1,0,0,5.200000,3.400000,1.400000,0.200000,10.200000,0.199600,40.600000,6.371813
0.963562,0.018930,0.017509,1,0,0,1,0,0,4.700000,3.200000,1.600000,0.200000,9.700000,0.179379,34.930000,5.910161
0.963235,0.020040,0.016725,1,0,0,1,0,0,4.800000,3.100000,1.600000,0.200000,9.700000,0.183113,35.250000,5.937171
0.962508,0.021912,0.015580,1,0,0,1,0,0,5.400000,3.400000,1.500000,0.400000,10.700000,0.185363,43.130000,6.567343
0.963365,0.017081,0.019554,1,0,0,1,0,0,5.200000,4.100000,1.500000,0.100000,10.900000,0.197400,46.110000,6.790434
0.960037,0.019758,0.020205,1,0,0,1,0,0,5.500000,4.200000,1.400000,0.200000,11.300000,0.200089,49.890000,7.063285
0.967387,0.016749,0.015864,1,0,0,1,0,0,4.900000,3.100000,1.500000,0.100000,9.600000,0.198663,35.880000,5.989992
0.972248,0.012840,0.014912,1,0,0,1,0,0,5.000000,3.200000,1.200000,0.200000,9.600000,0.207882,36.720000,6.059703
0.966260,0.017192,0.016548,1,0,0,1,0,0,5.500000,3.500000,1.300000,0.200000,10.500000,0.210593,44.230000,6.650564
0.967387,0.016749,0.015864,1,0,0,1,0,0,4.900000,3.100000,1.500000,0.100000,9.600000,0.198663,35.880000,5.989992
0.963372,0.016255,0.020373,1,0,0,1,0,0,4.400000,3.000000,1.300000,0.200000,8.900000,0.188761,30.090000,5.485435
0.969748,0.015740,0.014512,1,0,0,1,0,0,5.100000,3.400000,1.500000,0.200000,10.200000,0.192204,39.860000,6.313478
0.972428,0.012988,0.014584,1,0,0,1,0,0,5.000000,3.500000,1.300000,0.300000,10.100000,0.191664,39.030000,6.247399
0.945450,0.028813,0.025738,1,0,0,1,0,0,4.500000,2.300000,1.300000,0.300000,8.400000,0.196457,27.320000,5.226854
0.963460,0.015503,0.021037,1,0,0,1,0,0,4.400000,3.200000,1.300000,0.200000,9.100000,0.187111,31.330000,5.597321
0.959113,0.023797,0.017089,1,0,0,1,0,0,5.000000,3.500000,1.600000,0.600000,10.700000,0.155883,40.170000,6.337981
0.949265,0.030620,0.020115,1,0,0,1,0,0,5.100000,3.800000,1.900000,0.400000,11.200000,0.157871,44.220000,6.649812
0.967460,0.016935,0.015605,1,0,0,1,0,0,4.800000,3.000000,1.400000,0.300000,9.500000,0.186458,34.090000,5.838664
0.966870,0.016668,0.016462,1,0,0,1,0,0,5.100000,3.800000,1.600000,0.200000,10.700000,0.184607,43.050000,6.561250
0.967652,0.014949,0.017399,1,0,0,1,0,0,4.600000,3.200000,1.400000,0.200000,9.400000,0.186749,33.400000,5.779273
