prob0,prob1,prob2,prob3,actual0,actual1,actual2,actual3,predicted0,predicted1,predicted2,predicted3,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9
0.559485,0.102782,0.112559,0.225174,1,0,0,0,1,0,0,0,0.987976,-0.450543,-0.467715,-0.872217,-2.431808,2.942963,-0.012854,1.153113,-1.857332,-0.471819
0.277953,0.197278,0.188320,0.336448,0,1,0,0,0,0,0,1,-0.530865,0.695594,-0.227387,-0.457575,-3.507149,0.427803,0.355427,-1.118183,-2.125035,1.215582
0.597784,0.162383,0.103211,0.136622,1,0,0,0,1,0,0,0,-1.016190,-0.199000,-2.040245,-1.433949,0.029631,-1.267753,0.799413,1.835895,-2.451938,0.519064
0.083933,0.596108,0.204360,0.115599,0,1,0,0,0,1,0,0,-0.775353,-2.152163,-1.426786,1.978145,1.297587,0.588196,1.027166,0.889218,0.552097,-0.522710
0.457875,0.129727,0.225123,0.187276,1,0,0,0,1,0,0,0,0.040503,-1.083627,-0.492132,-0.040103,-1.689378,0.337925,-1.266510,0.620048,-0.471751,-0.359232
0.297504,0.198064,0.180645,0.323786,1,0,0,0,0,0,0,1,0.873021,1.318242,-0.136513,2.163996,-3.402861,0.339287,-0.054370,-0.916822,-1.097740,-0.913898
0.496542,0.164496,0.170233,0.168729,1,0,0,0,1,0,0,0,1.693958,0.181613,-0.975227,0.498665,-1.833594,-0.382984,0.672162,0.483504,-1.841863,0.621919
0.504714,0.202002,0.077752,0.215531,0,1,0,0,1,0,0,0,-1.489983,0.106666,1.191246,0.180487,-0.218022,-0.156539,-1.727121,-0.289328,0.845475,-1.474627
0.169049,0.310319,0.447572,0.073059,0,0,1,0,0,0,1,0,-0.821048,0.190432,0.436955,0.936323,1.338146,-1.163809,0.618392,1.089569,-0.993399,0.056772
0.057209,0.425310,0.120012,0.397469,0,1,0,0,0,1,0,0,-0.904174,0.400410,1.036593,1.400846,-1.441264,0.533080,0.071159,-2.055922,0.944716,-0.588154
0.104177,0.223106,0.115211,0.557506,0,0,0,1,0,0,0,1,-1.130999,-0.015661,-0.593795,0.214290,-1.261281,0.187488,0.578811,-0.965072,1.301725,-0.481710
0.541184,0.123446,0.121551,0.213820,1,0,0,0,1,0,0,0,-1.539918,1.422812,0.797249,1.870033,-1.812509,0.265829,-0.769488,-0.175763,-0.069662,2.387547
0.499707,0.148849,0.186503,0.164941,1,0,0,0,1,0,0,0,-1.006563,1.455011,-1.258197,-1.398785,-0.708582,-0.373290,-0.721402,1.588709,-1.593928,-1.240295
0.327389,0.237193,0.099148,0.336270,0,0,0,1,0,0,0,1,0.702271,-0.533059,0.464862,-0.051443,-1.024921,-0.500335,0.852702,1.700492,0.499126,-1.408577
0.663425,0.132518,0.099751,0.104306,1,0,0,0,1,0,0,0,0.763074,1.087388,-0.033940,-1.152667,-2.306774,0.543386,-1.566332,0.489986,-0.049246,0.299766
0.326141,0.385627,0.153236,0.134996,0,1,0,0,0,1,0,0,-0.896399,-1.956677,0.690857,-1.203704,-1.953795,-1.453181,0.799932,-0.382550,-0.785776,-1.232134
0.066176,0.581877,0.182492,0.169456,0,1,0,0,0,1,0,0,-0.819787,0.149920,-1.340709,-0.770459,0.867312,1.641594,0.919913,-0.283714,1.968670,-0.478883
0.098602,0.409122,0.205715,0.286561,0,1,0,0,0,1,0,0,-0.165980,0.176026,1.891843,-1.737469,-0.174790,-0.359362,0.679904,-1.299122,0.289711,0.766456
0.042105,0.168588,0.467667,0.321640,0,0,1,0,0,0,1,0,1.329346,-0.421618,1.443178,-0.330527,1.622368,-0.969476,-0.875003,-0.756801,0.491072,0.687757
0.481042,0.139800,0.123052,0.256106,1,0,0,0,1,0,0,0,-1.946149,-0.318727,-0.706452,0.468127,-2.827890,0.633125,0.037301,-0.861843,-1.997330,-1.536966
0.292851,0.252808,0.333215,0.121127,1,0,0,0,0,0,1,0,-0.536829,0.038824,-1.605434,-1.354931,0.654946,-1.461813,-0.767120,1.827529,-0.669107,1.561108
0.163992,0.144868,0.300453,0.390687,0,0,0,1,0,0,0,1,-0.115960,-0.835813,-1.549013,1.358560,-1.257764,-0.117495,-1.006229,-1.691500,-1.414096,0.175924
0.131122,0.197989,0.123155,0.547734,0,0,0,1,0,0,0,1,-0.819594,0.097184,-1.988522,-1.652977,-2.197913,1.399791,0.922494,-1.473536,0.981185,-1.408401
0.161504,0.215618,0.450490,0.172388,0,0,1,0,0,0,1,0,-0.929507,-0.164312,-0.488879,0.776048,0.029733,-0.574291,1.793475,-2.328465,-1.883924,-0.947911
0.390019,0.167027,0.112450,0.330505,0,0,0,1,1,0,0,0,0.547421,0.005010,0.768291,-2.494163,-0.228252,0.715017,0.067030,0.810222,2.526990,-0.058065
0.277998,0.317222,0.198468,0.206312,0,1,0,0,0,1,0,0,-0.562994,0.695305,1.264320,-0.923377,-1.205812,0.624327,0.645144,-0.819810,-0.899462,1.140794
0.169049,0.310319,0.447572,0.073059,0,0,1,0,0,0,1,0,1.389244,1.338336,0.669020,0.200319,2.069589,-0.632616,0.647322,3.627066,-2.014849,0.479904
0.516092,0.165282,0.162559,0.156067,0,1,0,0,1,0,0,0,1.035852,-0.350068,0.503874,-0.780001,-0.829347,-1.765774,-0.593130,0.429882,-1.961038,-1.640817
0.354333,0.212077,0.107092,0.326499,0,1,0,0,1,0,0,0,1.142655,1.655238,0.856557,-1.149461,-0.366210,-0.194320,0.277656,0.509103,2.505441,-0.515220
0.139370,0.094358,0.693212,0.073059,0,0,1,0,0,0,1,0,1.750848,-0.002889,1.333877,-0.271015,1.439906,1.574368,0.593222,0.814054,-1.272822,0.266303
0.401727,0.194422,0.230108,0.173742,0,0,1,0,1,0,0,0,1.300521,-0.239945,1.805268,0.411424,0.466076,-0.149872,-0.427189,0.288916,-0.370258,2.534491
0.091115,0.659259,0.199809,0.049817,0,0,1,0,0,1,0,0,0.350853,0.031718,-2.787292,-1.202174,2.862164,-1.492475,0.028366,1.754720,-0.454074,-1.793673
0.439858,0.116303,0.323417,0.120422,1,0,0,0,1,0,0,0,0.826668,-1.902537,2.791700,1.414503,0.733168,-0.736223,0.297583,1.348793,-1.352605,-0.327359
0.139370,0.139134,0.636495,0.085000,0,0,1,0,0,0,1,0,0.720998,0.706483,2.479135,0.077137,2.184250,0.026086,1.905054,0.518813,-0.599596,1.149072
0.195591,0.231573,0.388791,0.184045,0,0,1,0,0,0,1,0,-0.415409,-0.390523,-0.102313,-0.885804,0.267277,0.234017,-0.553371,-1.942707,-0.572629,-1.457986
0.090650,0.333630,0.249701,0.326020,0,0,1,0,0,1,0,0,-1.295629,0.273418,-1.794611,0.928587,-0.161216,-1.814996,-0.604617,-1.918782,0.276832,-0.386484
0.200023,0.243247,0.401796,0.154934,0,1,0,0,0,0,1,0,-0.331735,0.607192,2.227920,0.839866,-1.816744,-1.304451,-1.570655,-2.430208,-0.189754,0.992998
0.163584,0.096468,0.667710,0.072238,0,0,1,0,0,0,1,0,-1.206503,-1.280889,2.512261,0.228770,2.361609,-0.281551,-1.124890,0.331907,-2.218497,-1.850628
0.232892,0.361434,0.369302,0.036371,0,0,1,0,0,0,1,0,-1.413907,1.087461,-1.767676,1.725520,1.541654,0.211518,-0.715345,1.042116,-0.577742,-0.129447
0.416605,0.110679,0.336234,0.136482,0,0,1,0,1,0,0,0,-1.423008,-0.316780,3.006488,-0.395356,-0.669625,-0.070316,-0.801997,1.363476,-3.389278,1.178940
0.130512,0.159272,0.311484,0.398731,0,0,0,1,0,0,0,1,0.548006,1.574573,-1.054754,1.222583,-0.308689,0.380161,0.572734,-0.583544,2.228923,2.200022
0.224401,0.309145,0.099100,0.367354,0,0,0,1,0,0,0,1,-0.156406,-0.748884,3.331189,0.184505,-1.714367,-0.868742,0.326077,-0.268143,0.408682,-0.383396
0.269534,0.121858,0.447732,0.160876,0,0,1,0,0,0,1,0,-1.015860,-0.483457,-2.146434,-1.071713,0.722344,-0.300992,-0.883584,-1.074551,0.096580,1.192127
0.453212,0.173179,0.186234,0.187375,0,0,0,1,1,0,0,0,0.002385,-0.400497,-0.994804,-0.166840,-1.285811,1.875556,-0.359291,0.935403,-1.522409,-0.213449
0.158921,0.139921,0.628821,0.072337,0,0,1,0,0,0,1,0,1.314791,1.412415,2.135525,-0.276237,2.397096,0.913855,-0.051585,0.390220,-0.860914,-1.981198
0.453212,0.173179,0.186234,0.187375,1,0,0,0,1,0,0,0,0.037158,1.103689,-1.290843,-0.088576,-0.694354,-1.886997,-0.501192,1.446087,-1.378876,-0.140263
0.222102,0.504945,0.155520,0.117434,0,0,0,1,0,1,0,0,0.417533,1.731757,0.586627,-1.562334,0.279310,-1.018000,2.165121,-0.276225,1.460319,0.205060
0.508754,0.147035,0.185752,0.158459,0,0,0,1,1,0,0,0,-0.504305,-0.600589,1.122785,0.234436,-2.200020,0.897481,1.542199,2.024436,-0.657568,-0.366117
0.169892,0.234393,0.516325,0.079390,0,1,0,0,0,0,1,0,-1.415667,0.424515,2.797335,2.114097,0.036593,0.777004,-0.209263,-1.613453,-1.487438,0.776608
0.060597,0.224503,0.366262,0.348637,0,0,1,0,0,0,1,0,-0.173836,1.186895,-0.602185,0.845839,0.536574,-0.125434,-0.316867,-1.053824,0.304094,1.014672
0.168647,0.256690,0.380847,0.193816,0,1,0,0,0,0,1,0,0.229505,-0.502314,1.274658,-0.312325,0.178128,0.944292,0.395602,-0.388321,-2.447285,-1.258046
0.070135,0.125310,0.099954,0.704601,0,0,0,1,0,0,0,1,-0.587716,-0.615478,-0.404648,0.116866,-0.847339,0.345510,0.806795,-1.005165,0.487687,-0.671097
0.298507,0.254806,0.192908,0.253779,0,1,0,0,1,0,0,0,0.095392,-0.248016,0.454879,0.015092,-0.154414,-0.138823,0.651006,1.102146,0.737114,-0.425303
0.166667,0.160199,0.638905,0.034229,0,0,1,0,0,0,1,0,-1.952978,0.225099,3.028813,1.131677,0.491335,-0.191172,1.233485,-1.235375,0.160125,2.545845
0.098656,0.552380,0.239576,0.109387,0,1,0,0,0,1,0,0,-1.296190,0.896455,3.489804,-0.410712,0.890908,0.311947,0.552868,-3.582732,2.057232,-1.346370
