prob0,prob1,prob2,prob3,actual0,actual1,actual2,actual3,predicted0,predicted1,predicted2,predicted3,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,similarity
0.150000,0.000000,0.650000,0.200000,1,0,0,0,0,0,1,0,-2.427496,-2.423730,1.317689,0.197175,0.296239,1.759923,2.087051,0.638260,0.507044,0.613122,0.827533
0.120000,0.190952,0.082857,0.606190,0,0,0,1,0,0,0,1,0.617605,-0.169374,0.383060,-0.120974,0.583629,0.766582,-1.813424,-0.790628,-0.559650,0.288226,1.106919
0.485068,0.314932,0.200000,0.000000,1,0,0,0,1,0,0,0,-0.241328,-0.066783,2.084985,0.508750,-1.170815,-1.337051,-1.150778,-0.182960,-1.128642,-1.917609,1.387084
0.375787,0.306363,0.098065,0.219785,1,0,0,0,1,0,0,0,0.635630,0.215642,0.369643,-1.122611,-1.978799,-0.755260,0.434816,0.197650,1.643348,2.364688,0.835510
0.295787,0.539696,0.111398,0.053118,0,1,0,0,0,1,0,0,-0.056882,-0.503808,0.398632,1.195134,-1.026522,-0.479139,-0.163048,1.696899,-0.530735,-0.079210,0.943236
0.543529,0.203137,0.240000,0.013333,0,0,1,0,1,0,0,0,0.208915,1.312897,2.318045,-0.463150,0.224158,2.042848,-0.388706,0.555212,0.384700,3.014764,0.368589
0.205591,0.264178,0.300922,0.229309,0,1,0,0,0,0,1,0,-0.123751,-1.290784,0.670522,-1.206589,-2.146574,0.135105,1.711614,2.437477,1.075650,0.367725,0.879728
0.265225,0.390315,0.276104,0.068356,0,1,0,0,0,1,0,0,0.074668,0.462258,-0.564564,0.117962,-2.167145,-0.381884,0.382818,0.330215,0.309660,-0.680683,1.268624
0.093797,0.755021,0.111398,0.039785,0,1,0,0,0,1,0,0,-1.180471,0.002077,0.744435,1.540447,-0.963777,-2.799885,2.266786,0.986280,0.840530,-2.802633,1.081997
0.420326,0.254825,0.000000,0.324848,1,0,0,0,1,0,0,0,-0.358586,-0.578431,1.043599,-0.665988,-0.875618,0.162631,-2.623190,0.642222,-0.052353,-2.621625,1.455166
0.732322,0.081276,0.063158,0.123244,0,0,0,1,1,0,0,0,1.200346,-1.804103,-1.029042,0.744070,-2.050460,1.155391,-0.756582,-0.516657,0.569205,0.026080,1.215814
0.032258,0.717512,0.100922,0.149309,0,1,0,0,0,1,0,0,-0.218225,-0.976708,0.566433,2.428860,-1.057641,-0.288834,0.977558,-1.624850,0.663318,1.099160,0.865787
0.000000,0.066667,0.066667,0.866667,0,0,0,1,0,0,0,1,0.194671,0.603562,0.963289,-0.851194,0.277917,0.689780,-2.335069,0.878952,-1.334003,1.125490,0.980421
0.082258,0.251853,0.626104,0.039785,0,0,1,0,0,0,1,0,-0.444932,0.487365,1.956613,-0.746530,2.027149,1.235447,3.171737,0.697759,2.285821,-0.836556,0.400734
0.344762,0.294286,0.109524,0.251429,0,0,0,1,1,0,0,0,2.567675,2.266088,-0.044306,-0.301056,-0.564765,-0.357818,-2.570440,2.448308,-0.504212,0.249007,0.799086
0.133333,0.080952,0.176190,0.609524,0,0,0,1,0,0,0,1,0.254139,-1.613193,0.983599,1.742873,0.099272,-0.377590,-1.835448,0.353921,-0.439349,1.236697,0.963099
0.055787,0.393030,0.511398,0.039785,0,0,1,0,0,0,1,0,1.612317,-0.547960,0.454834,1.792722,1.220055,1.051483,1.219771,0.006384,1.399141,-0.997099,0.375945
0.201242,0.351354,0.222770,0.224633,0,1,0,0,0,1,0,0,-0.310281,0.734389,0.437883,-0.567072,-0.128491,0.779994,-1.101047,1.100910,0.841361,-0.953017,0.890542
0.325591,0.143226,0.298065,0.233118,1,0,0,0,1,0,0,0,-1.057069,-1.138622,0.445580,-0.156337,-0.437452,1.167272,0.849189,-1.063095,-1.545979,-0.081197,1.328504
0.032258,0.251853,0.676104,0.039785,0,0,1,0,0,0,1,0,0.059791,-1.633326,0.818939,-0.066204,-0.105957,-2.611408,-0.675135,-0.826841,0.142651,-0.610841,1.509028
0.740326,0.174825,0.000000,0.084848,1,0,0,0,1,0,0,0,0.313769,-1.309225,-0.831118,0.917195,-1.220503,-2.255820,-1.943087,1.137302,-0.153368,-1.277740,1.513271
0.197326,0.611491,0.111398,0.079785,0,1,0,0,0,1,0,0,-0.688459,-0.690949,1.093141,-1.131263,-0.354559,-0.693416,1.582537,-0.625523,-0.396025,-3.009915,1.386774
0.142105,0.123246,0.604825,0.129825,0,0,1,0,0,0,1,0,0.465306,1.031710,-0.772993,-0.108627,0.482693,-0.528891,1.175924,0.960813,-1.221028,0.687414,0.734060
0.000000,0.550000,0.200000,0.250000,0,0,1,0,0,1,0,0,-2.345362,-1.084869,2.067884,0.102652,0.658317,0.366835,0.747084,-2.824903,1.492734,-0.953367,1.116384
0.122105,0.361579,0.163158,0.353158,0,1,0,0,0,1,0,0,0.659993,3.438302,-1.571234,-0.858234,0.331522,1.029497,-1.124307,0.093946,-1.409247,-2.733949,1.129587
0.042105,0.344912,0.383158,0.229825,0,0,0,1,0,0,1,0,0.985189,-2.789804,-1.200099,0.321672,1.781505,0.124908,-0.636828,-1.371398,0.500699,-0.722494,1.233744
0.032258,0.117512,0.300922,0.549309,0,0,1,0,0,0,0,1,-0.086522,0.344350,0.029566,-1.297763,-2.580594,-1.238110,-1.488722,0.458127,0.409646,1.287621,1.348621
