prob0,prob1,prob2,prob3,actual0,actual1,actual2,actual3,predicted0,predicted1,predicted2,predicted3,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,distance_man,distance_cosine,distance_euclidean,distance_minkowski
0.795076,0.017357,0.044102,0.143466,1,0,0,0,1,0,0,0,2.353770,-0.256172,0.187782,0.745164,1.233488,-0.966525,0.315658,-0.938027,-0.596263,7.592849,0.780726,9.987116,3.160240
0.335839,0.004148,0.001119,0.658894,0,0,0,1,0,0,0,1,0.179037,-2.243848,0.313651,-0.214226,1.026517,0.051344,-0.068249,-0.643034,0.161496,4.901402,1.184931,6.711783,2.590711
0.028589,0.043030,0.904499,0.023883,0,0,1,0,0,0,1,0,-0.312138,1.176503,1.359655,-0.174279,0.991451,-0.009973,-0.748805,-0.893415,-1.351849,7.018068,0.995487,7.530094,2.744102
0.159429,0.013146,0.022339,0.805086,0,0,0,1,0,0,0,1,-1.167124,-0.089407,0.564725,0.305078,3.219737,1.263207,0.817910,-0.206128,0.071097,7.704413,0.581087,14.461078,3.802772
0.256806,0.021127,0.019821,0.702246,0,0,0,1,0,0,0,1,-0.858908,-0.927884,0.742008,0.099568,1.393916,-0.256153,-1.459080,0.841719,-1.343131,7.922367,1.198554,8.809204,2.968030
0.028490,0.037029,0.916462,0.018020,0,0,1,0,0,0,1,0,0.521478,1.923057,0.631545,0.999185,-0.598189,-0.729865,0.936671,1.588657,0.107283,8.035930,0.423338,9.670534,3.109748
0.113338,0.593906,0.243411,0.049346,0,1,0,0,0,1,0,0,0.630316,-1.980329,-2.500111,-0.133909,-1.545881,1.922531,-1.092710,-0.778478,-0.328155,10.912420,1.449029,18.581090,4.310579
0.809826,0.034157,0.013743,0.142273,1,0,0,0,1,0,0,0,-1.065126,0.090621,-0.171237,-1.441799,1.425037,-1.606364,-1.200294,-0.587047,-1.636717,9.224242,1.587978,12.326120,3.510857
0.021162,0.698541,0.218493,0.061804,0,0,1,0,0,1,0,0,-0.737899,-0.168524,1.871172,-0.812468,0.218788,0.371007,-0.956220,-0.624524,1.597248,7.357850,0.914641,8.775387,2.962328
0.349726,0.010563,0.014506,0.625205,0,0,0,1,0,0,0,1,1.088702,-0.648717,-1.582826,0.398499,1.756454,-0.966549,0.653262,-0.001151,0.148373,7.244533,0.904598,8.738360,2.956072
0.842476,0.055935,0.043965,0.057623,1,0,0,0,1,0,0,0,0.106754,1.465093,-1.707534,0.030880,1.036265,-0.419953,-2.620945,-0.734607,1.326477,9.448508,1.128516,15.493267,3.936149
0.021352,0.823332,0.144959,0.010357,0,1,0,0,0,1,0,0,1.119054,0.314288,0.319229,-1.137366,-1.448705,-0.423516,-0.325439,-1.739562,-0.700564,7.527723,1.455973,8.647456,2.940656
